feature,mean_abs_shap
building_age,0.7579620480537415
nearby_demo_count_2yr,0.5204203724861145
land_ratio,0.34908658266067505
underbuilt_ratio,0.29592058062553406
land_val,0.2806905210018158
lot_size_sf,0.2716926038265228
years_since_renovation,0.23568002879619598
nearby_new_construction_count,0.22233593463897705
land_val_change_pct,0.21603870391845703
building_val,0.1976458579301834
in_tax_sale,0.18404275178909302
ew_Masonry,0.1828032284975052
violation_count_5yr,0.1630243957042694
is_llc_owner,0.16182659566402435
building_val_change_pct,0.1581285297870636
sale_price_to_assessed_ratio,0.14160464704036713
renovation_investment,0.10008487850427628
sale_year,0.09979526698589325
sale_price,0.09099452197551727
is_vacant,0.07680650800466537
ew_Frame,0.07446897774934769
ca_South Lawndale,0.061309851706027985
pc_2-12,0.05442838743329048
has_open_violation,0.0529046505689621
ca_Roseland,0.0442914180457592
ca_Belmont Cragin,0.040509335696697235
pc_2-10,0.03916166350245476
pc_2-95,0.03608511760830879
ca_New City,0.033445484936237335
ca_Portage Park,0.03285134211182594
ca_Brighton Park,0.03251126781105995
pc_1-00,0.0322553813457489
ew_Frame + Masonry,0.030021483078598976
ca_Austin,0.02838364616036415
ca_Ashburn,0.027915528044104576
ca_Humboldt Park,0.02558010444045067
ca_West Lawn,0.024335721507668495
ca_Bridgeport,0.022266311571002007
ca_Beverly,0.022184565663337708
pc_2-02,0.021260075271129608
ca_OTHER,0.019549183547496796
ca_West Ridge,0.01800142414867878
ew_UNKNOWN,0.014666663482785225
ca_Chatham,0.013094753958284855
pc_2-03,0.011303672567009926
ca_Washington Heights,0.010553884319961071
pc_2-34,0.010443366132676601
pc_2-11,0.010087337344884872
pc_2-05,0.008975476026535034
ca_Dunning,0.008893486112356186
ca_Chicago Lawn,0.008261031471192837
pc_2-06,0.007585381623357534
ca_Auburn Gresham,0.006725496146827936
ca_Englewood,0.006559441331773996
pc_2-01,0.005802673287689686
ca_Norwood Park,0.005723318085074425
ca_Irving Park,0.005680480971932411
ca_West Englewood,0.005583488382399082
ca_South Chicago,0.005369171965867281
ca_Logan Square,0.005330873187631369
pc_2-04,0.005163599271327257
ca_Morgan Park,0.004547737073153257
ca_Lincoln Park,0.004249721299856901
ca_Garfield Ridge,0.004133584909141064
pc_2-41,0.003982502035796642
ca_West Pullman,0.0023052359465509653
ca_West Town,0.0022252455819398165
pc_2-78,0.002049196045845747
ca_Greater Grand Crossing,0.0010245823068544269
pc_2-90,0.0005392866441980004
ew_Stucco,0.00019728791085071862
pc_2-08,0.0
pc_OTHER,0.0
pc_2-97,0.0
pc_2-07,0.0
pc_2-13,0.0
pc_2-09,0.0
